Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Genre
667234,The Cat in the Hat Comes Back,Dr. Seuss,"Seuss, Dr.",,394800028,9.78E+12,0,3.84,Begginner Books,Hardcover,63,2000,1958,Kids
233093,The Cat in the Hat,Dr. Seuss,"Seuss, Dr.",,039480001X,9.78E+12,0,4.16,Random House Books for Young Readers,Hardcover,61,1985,1957,Kids
9858081,"The Code of the Woosters (Jeeves, #7)",P.G. Wodehouse,"Wodehouse, P.G.",,393339815,9.78E+12,0,4.36,W. W. Norton  Company,Paperback,272,2011,1938,Comedy
44882,Code,Charles Petzold,"Petzold, Charles",,735611319,9.78E+12,0,4.39,Microsoft Press,Paperback,400,2000,1999,Academic
968,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,"Brown, Dan",,307277674,9.78E+12,0,3.82,Anchor,Paperback,489,2006,2003,Mystery
92057,The Autobiography of Malcolm X,Malcolm X,"X, Malcolm",Alex Haley,,,0,4.31,Ballantine Books,Paperback,466,,1965,Autobiography
1021777,The Autobiography of Malcom X (Bloom's Reviews),Harold Bloom,"Bloom, Harold",,791041115,9.78E+12,0,4.19,Chelsea House Publications,Paperback,,1998,1965,Autobiography
682745,The Basketball Diaries,Jim Carroll,"Carroll, Jim",,,,0,3.98,Penguin Books/Penguin Group (USA) Inc.,Paperback,224,1995,1978,Autobiography
843551,Shrek the Third: The Movie Storybook,Alice Cameron,"Cameron, Alice",Larry Navarro,61228710,9.78E+12,0,3.95,HarperEntertainment,Hardcover,56,2007,2007,Kids
295649,"Bloody Jack (Bloody Jack, #1)",L.A. Meyer,"Meyer, L.A.",,015205085X,9.78E+12,0,4.11,HMH Books for Young Readers,Paperback,304,2010,2002,Fiction
39280444,Speak,Laurie Halse Anderson,"Anderson, Laurie Halse",,374311250,9.78E+12,0,4.01,"Farrar, Straus and Giroux (Byr)",Hardcover,224,2019,1999,Fiction
207682,"When Lightning Strikes (1-800-Where-R-You, #1)",Jenny Carroll,"Carroll, Jenny",Meg Cabot,1416927050,9.78E+12,0,4.04,Simon Pulse,Paperback,266,2007,2001,Fiction
11198312,"The Medusa Plot (39 Clues: Cahills vs. Vespers, #1)",Gordon Korman,"Korman, Gordon",,545324092,9.78E+12,0,4.08,Scholastic Press,Hardcover,222,2011,2011,Fiction
76620,"Watership Down (Watership Down, #1)",Richard  Adams,"Adams, Richard",,038039586X,9.78E+12,0,4.06,Avon Books,Mass Market Paperback,478,1975,1972,Fiction
60400,"The Ruins of Gorlan (Ranger's Apprentice, #1)",John Flanagan,"Flanagan, John",,142406635,9.78E+12,0,4.22,Puffin Books,Paperback,249,2006,2004,Fiction
266682,"Night of the Living Dummy II (Goosebumps, #31)",R.L. Stine,"Stine, R.L.",,439573742,9.78E+12,0,3.69,Scholastic Inc.,Paperback,144,2004,1995,Horror
295047,Psychology for Dummies,Adam Cash,"Cash, Adam",,764554344,9.78E+12,0,3.69,Hungry Minds,Paperback,384,2002,2002,Academic
149238,Buddhism for Dummies,Jonathan Landaw,"Landaw, Jonathan",Stephan Bodian,764553593,9.78E+12,0,3.92,Wiley Publishing,Paperback,384,2002,2002,Academic
448868,Meditation for Dummies,Stephan Bodian,"Bodian, Stephan",Dean Ornish,764551167,,0,3.74,IDG Books Worldwide,Paperback,384,1999,1999,Academic
171067,Investing For Dummies,Eric Tyson,"Tyson, Eric",,764599127,9.78E+12,0,3.7,Wiley Publishing,Paperback,430,2005,1996,Academic
19622432,A Little Bit of Everything For Dummies,John Wiley & Sons,"Sons, John Wiley &",,,,0,3.25,For Dummies,Kindle Edition,397,2011,2011,Academic
19843,Relationships 101,John C. Maxwell,"Maxwell, John C.",,785263519,9.78E+12,0,4.28,HarperCollins Leadership,Hardcover,112,2004,2003,Self-development
2322209,101 Dalmatians,Justine Korman Fontes,"Fontes, Justine Korman","Bill Langley, Ron Dias",736424202,9.78E+12,0,4.3,Golden Books,Hardcover,24,2007,1985,Kids
18693655,A Mind for Numbers: How to Excel at Math and Science (Even If You Flunked Algebra),Barbara Oakley,"Oakley, Barbara",,039916524X,9.78E+12,0,4.25,The Penguin Group,Paperback,322,2014,2014,Academic
28186015,Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,Cathy O'Neil,"O'Neil, Cathy",,553418815,9.78E+12,0,3.87,Crown,Hardcover,259,2016,2016,Academic
25860522,"After Math (Off the Subject, #1)",Denise Grover Swank,"Swank, Denise Grover",,,9.78E+12,0,3.75,DGS,ebook,251,2013,2013,Academic
174329,Math Curse,Jon Scieszka,"Scieszka, Jon",Lane Smith,670861944,9.78E+12,0,4.17,Viking Books for Young Readers,Hardcover,32,1995,1995,Kids
11413,Captivating: Unveiling the Mystery of a Woman's Soul,John Eldredge,"Eldredge, John",Stasi Eldredge,785264698,9.78E+12,0,3.91,Nelson Books,Hardcover,243,2005,2004,Self-development
25376,The Mystery Method: How to Get Beautiful Women Into Bed,Mystery,"Mystery, Mystery",Neil Strauss,312360118,9.78E+12,0,3.71,St. Martin's Press,Hardcover,240,2007,2007,Self-development
13235689,How Music Works,David Byrne,"Byrne, David",,1936365537,9.78E+12,0,3.95,McSweeney's,Hardcover,345,2012,2012,Biography
26854212,The Music Shop,Rachel Joyce,"Joyce, Rachel",,,9.78E+12,0,3.82,,Hardcover,306,2018,2017,Fiction
16729,Beach Music,Pat Conroy,"Conroy, Pat",,553381539,9.78E+12,0,4.15,Dial Press,Paperback,592,2002,1995,Fiction
1297985,Musicophilia: Tales of Music and the Brain,Oliver Sacks,"Sacks, Oliver",,676979785,9.78E+12,0,3.9,Knopf Canada,Hardcover,400,2007,2007,Academic
6022648,"High Line (Love of Sports, #2)",T.A. Chase,"Chase, T.A.",,1605043893,9.78E+12,0,3.82,Samhain Publishing,ebook,232,2009,2009,Sports
23295909,Three and Out (Love and Sports #3),Meghan Quinn,"Quinn, Meghan",,,,0,4.15,,ebook,350,2014,2014,Sports
75641,"Last Shot: A Final Four Mystery (The Sports Beat, #1)",John Feinstein,"Feinstein, John",,553494600,9.78E+12,0,4.04,Yearling,Paperback,272,2006,2005,Sports
9379180,Scorecasting: The Hidden Influences Behind How Sports Are Played and Games Are Won,Tobias J. Moskowitz,"Moskowitz, Tobias J.",L. Jon Wertheim,307591794,9.78E+12,0,3.8,Crown Archetype,Hardcover,255,2011,2011,Sports
5771014,"The Talent Code: Unlocking the Secret of Skill in Sports, Art, Music, Math, and Just About Everything Else",Daniel Coyle,"Coyle, Daniel",John Farrell,1598878735,9.78E+12,0,4.07,HighBridge Company,Audio CD,288,2009,2009,Self-development
4452257,The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,"Simmons, Bill",,034551176X,9.78E+12,0,4.17,ESPN,Hardcover,736,2009,2009,Sports
33676,"Saving the World and Other Extreme Sports (Maximum Ride, #3)",James Patterson,"Patterson, James",,316155608,9.78E+12,0,4.15,"Little, Brown and Company",Hardcover,405,2007,2006,Sports
24815,The Indispensable Calvin and Hobbes,Bill Watterson,"Watterson, Bill",,751500283,9.78E+12,0,4.74,Warner Books,Paperback,255,1992,1992,Comedy
24812,The Complete Calvin and Hobbes,Bill Watterson,"Watterson, Bill",,740748475,9.78E+12,0,4.82,Andrews McMeel Publishing,Hardcover,1456,2005,2005,Comedy
43070,The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury,Bill Watterson,"Watterson, Bill",,836218051,9.78E+12,0,4.64,Andrews McMeel Publishing,Paperback,256,1988,1988,Comedy
1040650,Spiderman: Worst Enemies,Catherine Saunders,"Saunders, Catherine",,756620236,9.78E+12,0,4.13,DK Publishing (Dorling Kindersley),Paperback,32,2006,2006,Fiction
8093595,Spiderman: The Amazing Spiderman,Dirk Maggs,"Maggs, Dirk",,563390980,9.78E+12,0,4.46,BBC Audiobooks,Audio Cassette,0,2002,1996,Fiction
16114835,Spiderman,Tom DeFalco,"DeFalco, Tom",,8483465124,9.79E+12,0,4.36,DeBols!llo,Mass Market Paperback,264,2007,2010,Fiction
24280,Les Misérables,Victor Hugo,"Hugo, Victor","Lee Fahnestock, Norman MacAfee",451525264,9.78E+12,0,4.16,Signet Classics,Mass Market Paperback,1463,1987,1862,Fiction
60113,"Making Comics: Storytelling Secrets of Comics, Manga and Graphic Novels",Scott McCloud,"McCloud, Scott",,60780940,9.78E+12,0,4.31,William Morrow Paperbacks,Paperback,264,2006,2006,Academic
13027796,"The Red Pyramid: The Graphic Novel (The Kane Chronicles: The Graphic Novels, #1)",Orpheus Collar,"Collar, Orpheus",Rick Riordan,1423150686,9.78E+12,0,4.2,Disney-Hyperion,Hardcover,192,2012,2012,Fiction
824499,A Wreath for Emmett Till,Marilyn Nelson,"Nelson, Marilyn",Philippe Lardy,618397523,9.78E+12,0,4.18,HMH Books for Young Readers,Hardcover,48,2005,2005,Elegy
345627,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,"Mead, Richelle",,159514174X,9.78E+12,0,4.13,Razorbill,Paperback,332,2007,2007,Fiction
34262,"Peter and the Starcatchers (Peter and the Starcatchers, #1)",Dave Barry,"Barry, Dave","Ridley Pearson, Greg Call",078684907X,9.78E+12,0,4.02,Disney-Hyperion,Paperback,452,2006,2004,Fiction
20758104,"The Knife of Never Letting Go (Chaos Walking, #1)",Patrick Ness,"Ness, Patrick",,763676187,9.78E+12,0,3.97,Candlewick Press,Paperback,512,2014,2008,Fiction
1003985,"Epic (Epic, #1)",Conor Kostick,"Kostick, Conor",,670061794,9.78E+12,0,3.94,Viking Books for Young Readers,Hardcover,384,2007,2004,Fiction
233906,John Lennon: All I Want is the Truth,Elizabeth Partridge,"Partridge, Elizabeth",,670059544,9.78E+12,0,3.92,Viking Books for Young Readers,Hardcover,256,2005,2005,Biography
271295,"A Cold Day For Murder (Kate Shugak, #1)",Dana Stabenow,"Stabenow, Dana",Marguerite Gavin,042513301X,9.78E+12,0,3.72,Berkley,Paperback,208,1992,1992,Fiction
33597976,The Snow Child,Eowyn Ivey,"Ivey, Eowyn",,,,0,3.97,Reagan Arthur Books,Kindle Edition,404,2012,2012,Fiction
42953,Alaska,James A. Michener,"Michener, James A.",,037576142X,9.78E+12,0,4.11,Dial Press Trade Paperback,Paperback,868,2002,1988,Fiction
43035,White Fang,Jack London,"London, Jack",,439236193,9.78E+12,0,3.96,Scholastic Paperbacks,Paperback,252,2001,1905,Fiction
1852,The Call of the Wild,Jack London,"London, Jack",,439227143,9.78E+12,0,3.85,Scholastic,Paperback,172,2001,1903,Fiction
39999,The Boy in the Striped Pajamas,John Boyne,"Boyne, John",,385751060,9.78E+12,0,4.13,David Fickling Books,Hardcover,224,2006,2006,Fiction
1617,"Night (The Night Trilogy, #1)",Elie Wiesel,"Wiesel, Elie","Marion Wiesel, François Mauriac",374500010,9.78E+12,0,4.32,Hill & Wang,Paperback,120,2006,1958,Biography
48855,The Diary of a Young Girl,Anne Frank,"Frank, Anne","Eleanor Roosevelt, B.M. Mooyaart-Doubleday",553296981,9.78E+12,0,4.12,Bantam,Mass Market Paperback,304,1993,1947,Biography
36236125,Invisible Monsters,Chuck Palahniuk,"Palahniuk, Chuck",,393355950,9.78E+12,0,4,W. W. Norton  Company,Paperback,304,2018,1999,Fiction
36236124,Fight Club,Chuck Palahniuk,"Palahniuk, Chuck",,393355942,9.78E+12,0,4.2,W. W. Norton  Company,Paperback,224,2018,1996,Fiction
7437,Naked Lunch,William S. Burroughs,"Burroughs, William S.","James Grauerholz, Barry Miles",802140181,9.78E+12,0,3.45,Grove Press,Paperback,289,2004,1959,Fiction
227463,A Clockwork Orange,Anthony Burgess,"Burgess, Anthony",,393312836,9.78E+12,0,3.99,W. W. Norton & Company,Paperback,192,1989,1962,Fiction
18135,Romeo and Juliet,William Shakespeare,"Shakespeare, William","Paul Werstine, Barbara A. Mowat",743477111,9.78E+12,0,3.74,Washington Square Press ,Paperback,283,2002,1595,Drama
28925236,Appetites: A Cookbook,Anthony Bourdain,"Bourdain, Anthony",,62409956,9.78E+12,0,3.99,Ecco,Hardcover,304,2016,2016,Fiction
67657,The Lady & Sons Savannah Country Cookbook,Paula H. Deen,"Deen, Paula H.",John Berendt,375751114,9.78E+12,0,4,Random House,Paperback,192,1998,1998,Cooking
154556,The French Laundry Cookbook,Thomas Keller,"Keller, Thomas",Deborah Jones,1579651267,9.78E+12,0,4.29,Artisan,Hardcover,336,1999,1999,Cooking
3895,The Barefoot Contessa Cookbook,Ina Garten,"Garten, Ina",Melanie Acevedo,609602195,9.78E+12,0,4.15,Clarkson Potter,Hardcover,256,1999,1999,Cooking
13331199,The Smitten Kitchen Cookbook,Deb Perelman,"Perelman, Deb",,030759565X,9.78E+12,0,4.05,Knopf,Hardcover,336,2012,2012,Cooking
1127996,Betty Crocker's Cookbook,Betty Crocker,"Crocker, Betty",,307098222,9.78E+12,0,4.26,Golden Books,Hardcover,575,1981,1969,Cooking
1059680,Veganomicon: The Ultimate Vegan Cookbook,Isa Chandra Moskowitz,"Moskowitz, Isa Chandra",Terry Hope Romero,156924264X,9.78E+12,0,3.92,Da Capo Lifelong Books,Hardcover,336,2007,2007,Cooking
13531504,Jerusalem: A Cookbook,Yotam Ottolenghi,"Ottolenghi, Yotam",Sami Tamimi,1607743949,9.78E+12,0,4.26,Ten Speed Press,Hardcover,320,2012,2012,Cooking
19288043,Gone Girl,Gillian Flynn,"Flynn, Gillian",,,,0,4.06,Broadway Books,Paperback,415,2014,2012,Fiction
11735983,"Insurgent (Divergent, #2)",Veronica Roth,"Roth, Veronica",,7442912,9.78E+12,0,4.05,HarperCollins Children's Books,Hardcover,525,2012,2012,Fiction
13335037,"Divergent (Divergent, #1)",Veronica Roth,"Roth, Veronica",,62024035,9.78E+12,0,4.21,Katherine Tegen Books,Paperback,487,2012,2011,Fiction
11870085,The Fault in Our Stars,John Green,"Green, John",,,,0,4.24,Dutton Books,Hardcover,313,2012,2012,Romance
4374400,"If I Stay (If I Stay, #1)",Gayle Forman,"Forman, Gayle",,525421033,9.78E+12,0,3.95,Dutton Books for Young Readers,Hardcover,201,2009,2009,Fiction
51738,Just Listen,Sarah Dessen,"Dessen, Sarah",,670061050,9.78E+12,0,4.06,Viking Books for Young Readers,Hardcover,371,2006,2006,Fiction
77203,The Kite Runner,Khaled Hosseini,"Hosseini, Khaled",Berliani M. Nugrahani,1594480001,9.78E+12,0,4.28,Riverhead Books,Paperback,371,2004,2003,Fiction
7244,The Poisonwood Bible,Barbara Kingsolver,"Kingsolver, Barbara",,60786507,9.78E+12,0,4.05,Harper Perennial Modern Classics,Hardcover,546,2005,1998,Fiction
888628,"Neuromancer (Sprawl, #1)",William Gibson,"Gibson, William",Jack Womack,441007465,9.78E+12,0,3.89,Ace Books,Paperback,261,2000,1984,Science Fiction
256566,Everything Is Illuminated,Jonathan Safran Foer,"Foer, Jonathan Safran",,60529709,9.78E+12,0,3.9,Harper Perennial,Paperback,276,2003,2002,Fiction
133488,Tales of the South Pacific,James A. Michener,"Michener, James A.",,449206521,9.78E+12,0,4.04,Fawcett Books,Mass Market Paperback,384,1984,1947,Fiction
10996342,The Art of Fielding,Chad Harbach,"Harbach, Chad",,316126691,9.78E+12,0,3.99,"Little, Brown and Company",Hardcover,512,2011,2011,Fiction
18007564,The Martian,Andy Weir,"Weir, Andy",,804139024,9.78E+12,0,4.4,Crown,Hardcover,369,2014,2012,Fiction
375802,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott",,812550706,9.78E+12,0,4.3,TOR,Mass Market Paperback,324,1994,1985,Fiction
11,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,,,0,4.22,Del Rey Books,Mass Market Paperback,216,2017,1979,Fiction
10245602,Poor Economics: A Radical Rethinking of the Way to Fight Global Poverty,Abhijit V. Banerjee,"Banerjee, Abhijit V.",Esther Duflo,1586487981,9.78E+12,0,4.23,PublicAffairs,Hardcover,320,2011,2011,Academic
12158480,"Why Nations Fail: The Origins of Power, Prosperity, and Poverty",Daron Acemoğlu,"Acemoğlu, Daron",James A. Robinson,307719219,9.78E+12,0,4.05,Crown Business,Hardcover,544,2012,2012,Academic
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,374275637,9.78E+12,0,4.13,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,Self-development
1845,Into the Wild,Jon Krakauer,"Krakauer, Jon",,385486804,9.78E+12,0,3.97,Anchor Books,Paperback,207,1997,1996,Biography
11366,The Guns of August,Barbara W. Tuchman,"Tuchman, Barbara W.",Robert K. Massie,345476093,9.78E+12,0,4.17,Ballantine Books,Paperback,606,2004,1962,Fiction
85431,"Friday Night Lights: A Town, a Team, and a Dream",H.G. Bissinger,"Bissinger, H.G.",,306814250,9.78E+12,0,4.12,Da Capo Press,Mass Market Paperback,357,2004,1988,Sports
30257963,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,"Peterson, Jordan B.","Norman Doidge, Ethan Van Sciver",345816021,9.78E+12,0,3.99,Random House Canada,Hardcover,409,2018,2018,Self-development
7267000,Organizational Behavior,Stephen P. Robbins,"Robbins, Stephen P.",Timothy A. Judge,136124011,9.78E+12,0,3.81,Prentice Hall,Hardcover,686,2010,1983,Academic
13014372,Alzheimer's Disease: What If There Was a Cure?: The Story of Ketones,Mary T. Newport,"Newport, Mary T.",Cheryl Hirsch,1591202930,9.78E+12,0,4.3,Basic Health Publications,Paperback,398,2011,2011,Academic
11474787,What's Your Assessment?,Barbara Bielan,"Bielan, Barbara",,9780979502,,0,5,"Jannetti Publications, Inc.",Paperback,125,2008,2008,Academic
1923820,Holy Bible: King James Version,Anonymous,"Anonymous, Anonymous",,,,0,4.42,,Hardcover,1590,2008,1611,Religious
367611,A Dictionary of Basic Japanese Grammar 日本語基本文法辞典 (Japanese Grammar Dictionary #1),Seiichi Makino,"Makino, Seiichi",Michio Tsutsui,4789004546,9.78E+12,0,4.63,"The Japan Times, Ltd.",Paperback,634,1991,1991,Academic
791507,"GENKI: An Integrated Course in Elementary Japanese, Vol. II",Eri Banno,"Banno, Eri",,4789009823,9.78E+12,0,4.35,The Japan Times,Paperback,353,1999,1999,Academic
791506,Genki I: An Integrated Course in Elementary Japanese,Eri Banno,"Banno, Eri",,,,0,4.3,The Japan Times,Paperback,344,1999,1999,Academic
15717943,"Hopeless (Hopeless, #1)",Colleen Hoover,"Hoover, Colleen",,1301949825,9.78E+12,0,4.31,,ebook,410,2012,2012,Fiction
11505797,"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,"McGuire, Jamie",,,,0,4.12,Jamie McGuire,Kindle Edition,319,2011,2011,Fiction
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,553588486,9.78E+12,0,4.45,Bantam,Mass Market Paperback,848,2005,1996,Fiction
33,"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien,"Tolkien, J.R.R.",,,,0,4.49,Houghton Mifflin Harcourt,Paperback,1216,2005,1955,Fiction
37781,Things Fall Apart,Chinua Achebe,"Achebe, Chinua",,,,0,3.64,Anchor Books,Paperback,209,1994,1958,Fiction
17690,The Trial,Franz Kafka,"Kafka, Franz","Willa Muir, Edwin Muir, Max Brod",99428644,9.78E+12,0,3.98,Vintage Classics,Paperback,255,2001,1925,Fiction
7144,Crime and Punishment,Fyodor Dostoyevsky,"Dostoyevsky, Fyodor",David McDuff,143058142,9.78E+12,0,4.2,Penguin,Paperback,671,2002,1866,Fiction
5470,1984,George Orwell,"Orwell, George",Erich Fromm,,,0,4.17,New American Library,Mass Market Paperback,326,1950,1949,Fiction
1885,Pride and Prejudice,Jane Austen,"Austen, Jane",Anna Quindlen,,,0,4.25,Modern Library,Paperback,279,2000,1813,Fiction
231804,The Outsiders,S.E. Hinton,"Hinton, S.E.",,,,0,4.08,Puffin Books (US/CAN),Mass Market Paperback,192,1997,1967,Fiction
38709,"Holes (Holes, #1)",Louis Sachar,"Sachar, Louis",,439244196,9.78E+12,0,3.95,Scholastic,Paperback,233,2000,1998,Fiction
28187,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,"Riordan, Rick",,786838655,9.78E+12,0,4.24,Disney Hyperion Books,Paperback,377,2006,2005,Fiction
3636,The Giver,Lois Lowry,"Lowry, Lois",,385732554,9.78E+12,0,4.12,Ember,Paperback,208,2006,1993,Fiction
293898,The Beatles Complete Chord Songbook,The Beatles,"Beatles, The",,634022296,9.78E+12,0,4.57,Hal Leonard Publishing Corporation,Paperback,400,2000,2000,Music
540282,The Norton Shakespeare,William Shakespeare,"Shakespeare, William",Andrew Gurr,393970876,9.78E+12,0,4.57,W. W. Norton & Company,Hardcover,3600,2004,1972,Drama
22078240,Saga: Book One,Brian K. Vaughan,"Vaughan, Brian K.",Fiona Staples,1632150786,9.78E+12,0,4.69,Image Comics,Hardcover,504,2014,2014,Fiction
596259,Standing for Something: 10 Neglected Virtues That Will Heal Our Hearts and Homes,Gordon B. Hinckley,"Hinckley, Gordon B.",,609807250,9.78E+12,0,4.6,Harmony,Paperback,256,2001,2000,Religious
188572,The Complete Sherlock Holmes (Sherlock Holmes),Arthur Conan Doyle,"Doyle, Arthur Conan",,553328255,9.78E+12,0,4.51,Bantam Classics,Paperback,1796,1986,1927,Fiction
44234,The Civil War: A Narrative,Shelby Foote,"Foote, Shelby",,307290468,9.78E+12,0,4.53,Random House,Hardcover,2934,2006,1963,Biography
23766634,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,"Maas, Sarah J.",,1408857901,9.78E+12,0,4.5,Bloomsbury Childrens Books,Paperback,699,2017,2017,Fiction
22299763,"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,"Bardugo, Leigh",,,,0,4.62,Orion Children's Books,Kindle Edition,536,2016,2016,Fiction
77727,Calvin and Hobbes (Calvin and Hobbes #1),Bill Watterson,"Watterson, Bill",G.B. Trudeau,836220889,9.78E+12,0,4.6,Andrews McMeel Publishing,Paperback,128,1987,1987,Comedy
297226,Autumn Sonata: Selected Poems,Georg Trakl,"Trakl, Georg","Daniel Simko, Carolyn Forché",1559212519,9.78E+12,0,4.68,Moyer Bell and its subsidiaries,Paperback,160,1998,1998,Poetry
49458,Ahead of All Parting: The Selected Poetry and Prose,Rainer Maria Rilke,"Rilke, Rainer Maria",Stephen Mitchell,679601619,9.78E+12,0,4.65,Modern Library,Hardcover,615,1995,1995,Poetry
59715,The Authoritative Calvin and Hobbes: A Calvin and Hobbes Treasury,Bill Watterson,"Watterson, Bill",,751507954,9.78E+12,0,4.73,Sphere,Paperback,254,1991,1990,Comedy
41558456,"Unleashed (Devil's Reach, #3)",J.L. Drake,"Drake, J.L.",,,,0,4.52,"Limitless Publishing, LLC",Kindle Edition,278,2018,2018,Fiction
18006496,"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,"Maas, Sarah J.",,1619636042,9.78E+12,0,4.58,Bloomsbury USA Childrens,Hardcover,648,2015,2015,Fiction
17961,Collected Fictions,Jorge Luis Borges,"Borges, Jorge Luis",Andrew Hurley,140286802,9.78E+12,0,4.59,Penguin Classics Deluxe Edition,Paperback,565,1999,1975,Fiction
12127810,"The House of Hades (The Heroes of Olympus, #4)",Rick Riordan,"Riordan, Rick",,1423146727,9.78E+12,0,4.55,Disney-Hyperion Books,Hardcover,597,2013,2013,Fiction
17927395,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,"Maas, Sarah J.",,,,0,4.68,Bloomsbury USA Childrens,Kindle Edition,626,2016,2016,Fiction
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,439785960,9.78E+12,0,4.56,Scholastic Inc.,Paperback,652,2006,2005,Fiction
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,,,0,4.55,Scholastic,Paperback,734,2002,2000,Fiction
62291,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,"Martin, George R.R.",,055357342X,9.78E+12,0,4.54,Bantam,Mass Market Paperback,1177,2003,2000,Fiction
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,043965548X,9.78E+12,0,4.55,Scholastic Inc.,Mass Market Paperback,435,2004,1999,Fiction
18335634,"Clockwork Princess (The Infernal Devices, #3)",Cassandra Clare,"Clare, Cassandra",,1406321346,9.78E+12,0,4.59,Walker Books Ltd,Paperback,567,2013,2013,Fiction
17332218,"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,"Sanderson, Brandon",,765326361,9.78E+12,0,4.77,Tor Books,Hardcover,1087,2014,2014,Fiction
1215032,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,"Rothfuss, Patrick",,756404738,9.78E+12,0,4.58,DAW Books,Hardcover,994,2011,2011,Fiction
7235533,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"Sanderson, Brandon",,765326353,9.78E+12,0,4.65,Tor Books,Hardcover,1007,2010,2010,Fiction
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,075640407X,9.78E+12,0,4.55,Penguin Group DAW,Hardcover,662,2007,2007,Fiction
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,545010225,9.78E+12,0,4.63,Arthur A. Levine Books / Scholastic Inc.,Hardcover,759,2007,2007,Fiction
394841,Travel Team,Mike Lupica,"Lupica, Mike",,142404624,9.78E+12,0,4.07,Puffin Books,Paperback,304,2005,2004,Fiction
7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"Collins, Suzanne",,439023513,9.78E+12,0,4.03,Scholastic Press,Hardcover,392,2010,2010,Fiction
9067850,"The Throne of Fire (The Kane Chronicles, #2)",Rick Riordan,"Riordan, Rick",,1423140567,9.78E+12,0,4.21,Hyperion Books for Children,Hardcover,452,2011,2011,Fiction
19057,I Am the Messenger,Markus Zusak,"Zusak, Markus",,375836675,9.78E+12,0,4.08,Alfred A. Knopf Borzoi Books,Paperback,357,2006,2002,Fiction
19063,The Book Thief,Markus Zusak,"Zusak, Markus",,375831002,9.78E+12,0,4.37,Alfred A. Knopf,Hardcover,552,2006,2005,Fiction
693208,The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,"Alexie, Sherman",Ellen Forney,316013684,9.78E+12,0,4.11,"Little, Brown Books for Young Readers",Hardcover,230,2007,2007,Fiction
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,,,0,4.27,Harper Perennial Modern Classics,Paperback,324,2006,1960,Fiction
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,439023491,9.78E+12,0,4.29,Scholastic Press,Hardcover,391,2009,2009,Fiction
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,439023483,9.78E+12,0,4.33,Scholastic Press,Hardcover,374,2008,2008,Fiction
13152,"The Angel Experiment (Maximum Ride, #1)",James Patterson,"Patterson, James",,446617792,9.78E+12,0,4.08,Grand Central Publishing,Mass Market Paperback,413,2006,2005,Fiction
13139,"School's Out—Forever (Maximum Ride, #2)",James Patterson,"Patterson, James",,316155594,9.78E+12,0,4.15,"Little, Brown and Company",Hardcover,409,2006,2006,Fiction
